"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.075378200E-1,-8.840589523E-1,-4.309563041E-1,9.688735962E0
4.095433410E-1,-9.941922426E-1,-4.501099288E-1,1.009096146E1
4.115502680E-1,-1.123479128E0,-3.782838583E-1,1.012448025E1
4.135571950E-1,-1.037287831E0,-5.315127969E-1,9.554660797E0
4.155644340E-1,-8.218097091E-1,-2.442085743E-1,9.343970299E0
4.175718820E-1,-1.176151633E0,-3.591302633E-1,9.607333183E0
4.195794860E-1,-1.310226917E0,-3.543418646E-1,9.693524361E0
4.215871430E-1,-9.032126069E-1,-1.771709323E-1,9.693524361E0
4.235946430E-1,-1.147421122E0,-2.346317619E-1,9.688735962E0
4.256001640E-1,-1.200093627E0,-2.920926213E-1,9.487623215E0
4.276111010E-1,-1.080383539E0,-1.244984865E-1,9.583391190E0
4.296112570E-1,-1.113902330E0,-1.675941199E-1,9.918579102E0
4.316116220E-1,-1.329380512E0,-3.639186621E-1,9.798869133E0
4.336123510E-1,-1.094748735E0,-1.053448766E-1,9.401431084E0
4.356136530E-1,-1.080383539E0,-2.394201756E-1,9.320028305E0
4.376156840E-1,-1.281496406E0,-1.771709323E-1,9.712677956E0
4.396185490E-1,-1.353322506E0,-2.489969730E-1,9.885060310E0
4.416214140E-1,-1.156997919E0,-2.059013397E-1,9.688735962E0
4.436252680E-1,-1.027711034E0,-2.106897533E-1,9.525930405E0
4.456301640E-1,-1.233612418E0,-2.825157940E-1,9.631275177E0
4.476361010E-1,-1.319803715E0,-3.256114423E-1,9.727043152E0
4.496429760E-1,-1.185728431E0,-2.681505978E-1,9.707889557E0
4.516507360E-1,-1.152209520E0,-2.920926213E-1,9.592967987E0
4.536592260E-1,-1.185728431E0,-3.734954596E-1,9.511565208E0
4.556683410E-1,-1.171363235E0,-3.064578176E-1,9.497200012E0
4.576778720E-1,-1.156997919E0,-4.213795066E-1,9.621698380E0
4.596876640E-1,-1.176151633E0,-3.974374831E-1,9.731831551E0
4.616975070E-1,-1.133055925E0,-4.309563041E-1,9.645640373E0
4.637055280E-1,-1.056441545E0,-4.261679053E-1,9.569025993E0
4.657110490E-1,-1.061229944E0,-4.453215301E-1,9.616909981E0
4.677138610E-1,-1.166574836E0,-5.075707436E-1,9.631275177E0
4.697168820E-1,-1.104325533E0,-4.836287498E-1,9.501988411E0
4.717201640E-1,-1.027711034E0,-4.884171486E-1,9.521142006E0
4.737238090E-1,-1.099537134E0,-5.554547906E-1,9.660005569E0
4.757278720E-1,-1.118690729E0,-5.841852427E-1,9.789292336E0
4.777324030E-1,-1.003769040E0,-5.363011956E-1,9.765350342E0
4.797369340E-1,-1.042076349E0,-5.793967843E-1,9.693524361E0
4.817419860E-1,-1.027711034E0,-5.410895944E-1,9.679159164E0
4.837475590E-1,-1.089960337E0,-5.746083856E-1,9.679159164E0
4.857536530E-1,-1.008557439E0,-5.506663918E-1,9.674370766E0
4.877602160E-1,-1.003769040E0,-5.410895944E-1,9.631275177E0
4.897671950E-1,-1.008557439E0,-5.267243981E-1,9.592967987E0
4.917744860E-1,-9.367313981E-1,-5.219359994E-1,9.607333183E0
4.937820390E-1,-9.798270464E-1,-4.836287498E-1,9.688735962E0
4.957897470E-1,-9.798270464E-1,-4.596867263E-1,9.717466354E0
4.977975070E-1,-9.702502489E-1,-4.405331016E-1,9.717466354E0
4.998106840E-1,-9.367313981E-1,-4.070142806E-1,9.707889557E0
5.018108410E-1,-9.654618502E-1,-4.165911078E-1,9.683947563E0
5.038112050E-1,-1.003769040E0,-3.830722570E-1,9.741408348E0
5.058119340E-1,-1.008557439E0,-3.687070608E-1,9.760561943E0
5.078132360E-1,-9.798270464E-1,-3.112462163E-1,9.770138741E0
5.098152680E-1,-9.271546006E-1,-2.968810201E-1,9.750985146E0
5.118181320E-1,-1.003769040E0,-2.968810201E-1,9.760561943E0
5.138218820E-1,-9.750386477E-1,-2.729389966E-1,9.755773544E0
5.158265700E-1,-9.846154451E-1,-2.585737705E-1,9.784503937E0
5.178312570E-1,-9.846154451E-1,-2.106897533E-1,9.789292336E0
5.198369340E-1,-9.846154451E-1,-2.202665508E-1,9.779715538E0
5.218435490E-1,-9.606734514E-1,-1.867477298E-1,9.750985146E0
5.238509970E-1,-9.319429994E-1,-1.819593310E-1,9.755773544E0
5.258591740E-1,-9.798270464E-1,-1.867477298E-1,9.765350342E0
5.278679240E-1,-9.558850527E-1,-1.771709323E-1,9.789292336E0
5.298771430E-1,-9.223662019E-1,-1.628057212E-1,9.779715538E0
