"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.782912570E-1,1.331579522E-3,-9.321057005E-4,1.464737463E-3
6.802949550E-1,3.462106921E-3,-9.321057005E-4,1.464737463E-3
6.822990700E-1,-7.989477599E-4,1.331579551E-4,3.994738800E-4
6.843036530E-1,1.331579522E-3,-1.997369342E-3,3.994738800E-4
6.863087050E-1,1.331579522E-3,-9.321057005E-4,3.994738800E-4
6.883142260E-1,1.331579522E-3,-9.321057005E-4,1.464737463E-3
6.903202160E-1,2.396843163E-3,-9.321057005E-4,-6.657897611E-4
6.923266220E-1,-7.989477599E-4,-1.997369342E-3,3.994738800E-4
6.943333930E-1,1.331579522E-3,-9.321057005E-4,3.994738800E-4
6.963439660E-1,2.663159103E-4,-1.997369342E-3,3.994738800E-4
6.983545390E-1,-7.989477599E-4,1.331579551E-4,3.994738800E-4
7.003597470E-1,2.663159103E-4,1.331579551E-4,3.994738800E-4
7.023703720E-1,2.663159103E-4,1.331579551E-4,3.994738800E-4
7.043708410E-1,2.663159103E-4,1.331579551E-4,3.994738800E-4
7.063714660E-1,-7.989477599E-4,1.331579551E-4,1.464737463E-3
7.083724550E-1,-2.929474926E-3,1.331579551E-4,1.464737463E-3
7.103739660E-1,-1.864211401E-3,-9.321057005E-4,2.530001104E-3
7.123761530E-1,2.663159103E-4,1.331579551E-4,3.994738800E-4
7.143791220E-1,1.331579522E-3,1.331579551E-4,3.994738800E-4
7.163829240E-1,1.331579522E-3,2.263685223E-3,1.464737463E-3
7.183876110E-1,-7.989477599E-4,2.263685223E-3,1.464737463E-3
7.203931840E-1,-7.989477599E-4,-9.321057005E-4,3.994738800E-4
7.223995910E-1,2.663159103E-4,-3.062632866E-3,3.994738800E-4
7.244067780E-1,2.396843163E-3,-3.062632866E-3,-6.657897611E-4
7.264146430E-1,1.331579522E-3,-1.997369342E-3,3.994738800E-4
7.284230800E-1,2.663159103E-4,-9.321057005E-4,1.464737463E-3
7.304319340E-1,1.331579522E-3,-3.062632866E-3,2.530001104E-3
7.324410490E-1,-1.864211401E-3,-8.388951421E-3,3.994738800E-4
7.344519340E-1,-3.994738683E-3,-1.265000552E-2,3.595264861E-3
7.364628200E-1,-1.864211401E-3,-1.158474199E-2,3.595264861E-3
7.384650590E-1,-7.989477599E-4,-6.258423906E-3,5.725792143E-3
7.404674030E-1,-7.989477599E-4,-5.193160381E-3,5.725792143E-3
7.424699550E-1,-7.989477599E-4,-4.127896391E-3,6.791055668E-3
7.444738090E-1,-7.989477599E-4,-4.127896391E-3,6.791055668E-3
7.464777160E-1,-1.864211401E-3,-5.193160381E-3,8.921583183E-3
7.484820390E-1,-3.994738683E-3,-5.193160381E-3,7.856319658E-3
7.504868300E-1,-2.929474926E-3,-7.323687430E-3,7.856319658E-3
7.524920910E-1,-5.060002208E-3,-6.258423906E-3,7.856319658E-3
7.544978200E-1,-3.994738683E-3,-1.997369342E-3,5.725792143E-3
7.565039660E-1,-3.994738683E-3,-9.321057005E-4,4.660528619E-3
7.585105280E-1,-5.060002208E-3,-9.321057005E-4,6.791055668E-3
7.605174030E-1,-5.060002208E-3,1.331579551E-4,5.725792143E-3
7.625245390E-1,-5.060002208E-3,1.198421582E-3,3.595264861E-3
7.645318820E-1,-3.994738683E-3,1.198421582E-3,3.595264861E-3
7.665393300E-1,-2.929474926E-3,1.198421582E-3,1.464737463E-3
7.685468300E-1,-3.994738683E-3,3.328948980E-3,3.994738800E-4
7.705538090E-1,-1.864211401E-3,5.459476262E-3,-1.731053460E-3
7.725617260E-1,-1.864211401E-3,6.524739787E-3,3.994738800E-4
7.745717260E-1,1.331579522E-3,6.524739787E-3,-1.731053460E-3
